0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
무의도입구,35001,111,십정동차고지 - 십정동차고지,2022-09,일반인,0,0,0,0,19,0,37,2,43,0,90,8,73,9,105,19,118,14,118,3,167,11,295,11,363,7,288,4,213,10,157,11,143,7,178,4,175,1,0,0,0,0,0,0,0,0,0,0,
무의도입구,35001,111,십정동차고지 - 십정동차고지,2022-09,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
무의도입구,35001,111,십정동차고지 - 십정동차고지,2022-09,청소년,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,11,0,0,0,1,0,4,4,5,0,4,0,1,0,1,0,15,1,33,0,0,0,0,0,0,0,0,0,0,0,
무의도입구,35001,222(B),인천공항T1(3층7번) - 파라다이스시티역,2022-09,일반인,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
무의도입구,35001,306,십정동차고지 - 십정동차고지,2022-09,일반인,0,0,0,0,8,0,44,3,43,3,41,3,28,3,74,10,38,10,71,11,100,11,164,8,255,7,176,10,168,8,157,11,129,19,156,0,56,2,0,0,0,0,0,0,0,0,0,0,
무의도입구,35001,306,십정동차고지 - 십정동차고지,2022-09,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
무의도입구,35001,306,십정동차고지 - 십정동차고지,2022-09,청소년,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,4,0,2,0,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,
무의도입구,35001,무의,인천공항T1(3층7번) - 인천공항T1(3층7번),2022-09,일반인,0,0,0,0,0,0,5,6,4,1,45,2,14,3,38,5,25,4,42,1,29,0,38,10,20,7,19,7,27,3,14,5,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,
무의도입구,35001,무의,인천공항T1(3층7번) - 인천공항T1(3층7번),2022-09,어린이,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
무의도입구,35001,무의,인천공항T1(3층7번) - 인천공항T1(3층7번),2022-09,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
무의도입구,35001,중구6-1,전소 - 전소,2022-09,일반인,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,17,3,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
무의도입구,35001,중구6-1,전소 - 전소,2022-09,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,